2MASS J08533619-0329321,https://s3.amazonaws.com/bdnyc/M9V_LHS2065.fits
2MASS J02550357-4700509,https://s3.amazonaws.com/bdnyc/L8_DENISJ0255-4700.fits
2MASSI J0253597+320637,https://s3.amazonaws.com/bdnyc/spex_sxd_U10156_060821_merge.fits
2MASS J22344161+4041387,https://s3.amazonaws.com/bdnyc/spex_sxd_u12140_060820_merge.fits
2MASS J00361617+1821104,https://s3.amazonaws.com/bdnyc/L3.5_2MASSJ0036%2B1821.fits
2MASS J03552337+1133437,https://s3.amazonaws.com/bdnyc/spex_sxd_0355%2B1133_U20171_merge.fits
TWA 27,https://s3.amazonaws.com/bdnyc/SpeX/SXD/2MASS_J12073346-3932539_spex_sxd.fits
2MASS J08251968+2115521,https://s3.amazonaws.com/bdnyc/L7.5_2MASSJ0825%2B2115.fits
2MASS J01415823-4633574,https://s3.amazonaws.com/bdnyc/SpeX/SXD/spex_sxd_0141-4633_040906_kc.fits
2MASS J06085283-2753583,https://s3.amazonaws.com/bdnyc/spex_sxd_0608-2753_U10507_merge.fits
2MASS J05591914-1404488,https://s3.amazonaws.com/bdnyc/SpeX/IRTF%20Library%20%28Prism%2BLXD%29/T4.5_2MASSJ0559-1404.fits
LHS 2924,https://s3.amazonaws.com/bdnyc/M9V_LHS2924.fits
